source_sheet,source_row,item,price_raw,amount,amount_note,vendor,received_raw,received_status,paid_raw,paid_status,extra_notes,row_disposition,suggested_target_tab
Tools,2,"Black Cable Ties (pack of 100) - 4"" × 1",390,390,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,3,"Black Cable Ties (pack of 100) - 14"" × 1",1150,1150,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,4,"Black Cable Ties (pack of 100) - 8"" × 1",620,620,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,5,Harden 32Pcs Screw Tap × 1,11940,11940,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,6,Ingco Wire cup brush 50mm WB30501 × 1,510,510,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,7,"Gaocheng Angle Grinder 125MM, 1500W GC-AG150H × 1",11400,11400,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,8,,18500,18500,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,9,"Total 1/2‰Û Flexible Handle 15"" THTFX12151 × 1",2310,2310,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,10,"LICOTA MADE IN TAIWAN 3/4"" DR. IMPACT SOCKET 6PT 41mm CR-MO BLACK × 1",3340,3340,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,11,"LICOTA MADE IN TAIWAN 1"" DR. IMPACT SOCKET 6PT 36mm CR-MO BLACK × 1",4170,4170,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,12,"Harden 1/2"" Torque Wrench Set 30-210N.m × 1",19380,19380,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,13,LICOTA MADE IN TAIWAN 90Pcs Socket and Tools Set × 1,73460,73460,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,14,Harden 10Pcs 18x100mm Knife Blade,480,480,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,15,Harden Folding knife,1520,1520,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,16,Harden Pro Grease Gun 500CC,4790,4790,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,17,Ingco Heat gun 2000w HG200078,6770,6770,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,18,Harden 12pcs Tap and Die Set 12pcs,7940,7940,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Tools,19,Ratchet crimping plier 9″ THCPL1506 | Company: Total | Origin: China,2600,2600,,totaltool.pk,,,,,,line_item,
Tools,20,Labels,,,,,,,,,,section_header,
Tools,21,“1/2 inch 24 inch breaker bar — heavy duty”,,,,,,,,,,section_header,
Tools,22,Electric Clamp Meter Multimeter Tester Pen Kit ANENG ST170+B15 600V AC/DC Voltage with 24V-250V AC Voltage Tester Home DIY Tools,8811,8811,,AliExpress,,,Y,yes,,line_item,
Tools,23,YTH -803 AUTOMATIC WIRE STRIPPER & CRIPMER,1650,1650,,fiaz.com.pk,Y,yes,Y,yes,,line_item,
Tools,24,Side Cutter Bosi Black in Pakistan,650,650,,fiaz.com.pk,Y,yes,Y,yes,,line_item,
Tools,25,Bosi Nose Plier 6'' Black A+ Quality in Pakistan,650,650,,fiaz.com.pk,Y,yes,Y,yes,,line_item,
Tools,26,INGCO Air compressor - ACS112501 × 1,57000,57000,,almirajtrading.com.pk,,,N,no,,line_item,
Tools,27,Total Abrasive metal Cutting Disc Set 50 Pcs,3999,3999,,ngcotool.pk,,,,,,line_item,
Tools,28,Tolsen 79646 Heavy Duty Bench Grinder 6,13999,13999,,ngcotool.pk,,,,,,line_item,
Tools,29,10 meter hose for ar compressINGCO Air hose - AH1151 × 1or,2850,2850,,almirajtrading.com.pk,,,N,no,,line_item,
Tools,30,Jumnp Leads,,,,,,,,,,section_header,
Tools,31,Jacks and stands,,,,,,,,,,section_header,
Tools,41,Argon Gas Cyllinder,33900,33900,,pakoxygen,Y,yes,,,,line_item,
Tools,42,E7018 Fortrex Electodes,2325,2325,,pakoxygen,Y,yes,,,,line_item,
Tools,43,E7018 Fortrex Electodes - x2,8500,8500,,pakoxygen,Y,yes,,,,line_item,
Tools,44,E6013 Zodian,2248,2248,,pakoxygen,Y,yes,,,,line_item,
Tools,45,E6013 Zodian,3120,3120,,pakoxygen,Y,yes,,,,line_item,
Tools,46,Saffire™ MIG Welding Wire x 2,16800,16800,,pakoxygen,Y,yes,,,,line_item,
Tools,47,Saffire™ MIG Welding Wire,8025,8025,,pakoxygen,Y,yes,,,,line_item,
Tools,48,"MIG WELDING FLUX CORE WIRE, 1KG, 0.8MM",2516,2516,,Daraaz,Y,yes,,,,line_item,
Tools,49,10pcs Male Female red Insulated Bullet Connecto x 4,1920,1920,,Daraaz,Y,yes,,,,line_item,
Tools,50,"German Imported WORKPRO 125mm 40 Grit Flap Discs - Premium Aluminium Grinding Disc for Removing Deburr, Rust, Polishing, Finishing x 4",4000,4000,,Daraaz,Y,yes,,,,line_item,
Tools,51,x,,,,,,,,,,section_header,
Parts,2,Toyota Land Cruiser FJ40 Neoprene Top Cover - Model 1960-1984,11500,11500,,Autozcare,Y,yes,Y,yes,,line_item,
Parts,3,Maximus Under Seat Subwoofer Box With Built in Amplifier - Compact Active Bass Woofer for Cars,25100,25100,,SehgalMotors.PK,,,Cancelled?,cancelled,revovate existing,line_item,
Parts,4,Universal Android LCD Tab 9 Inches With Wiring - Without Main Grip × 1,14600,14600,,]ehgalMotors.PK,,,Cancelled?,cancelled,,line_item,
Parts,5,"JBL GT5-S265 6-1/2"" Coaxial Speakers",51000,51000,,,,,,,,line_item,
Parts,6,MOMO Carbon Fiber Steering Wheel,8444,8444,,pakwheels,Y,yes,Y,yes,,line_item,
Parts,7,Steelmate Central Locking System,4680,4680,,Autostore.pk,Y,yes,Y,yes,,line_item,
Parts,8,Carpets/Mats,,,,,,,,,,section_header,
Parts,10,shackle reversal,,,,,,,,,,section_header,
Parts,11,Electrical power steering,,,,,,,,,,section_header,
Parts,13,Steering bushings,,,,,,,,,,section_header,
Parts,16,"Hidden evaporator/heater/defrost unit, compact Mini-size",,,,,,,,,,section_header,
Parts,17,Slim under-dash louver outlet panel,,,,,,,,,,section_header,
Parts,18,Separate 3-knob control panel,,,,,,,,,,section_header,
Parts,19,2.5-inch duct hose and defrost hose kit,,,,,,,,,,section_header,
Parts,20,Drain hose and mounting kit,,,,,,,,,,section_header,
Parts,21,Parallel-flow condenser sized to your core support,,,,,,,,,,section_header,
Parts,22,Receiver-drier,,,,,,,,,,section_header,
Parts,23,Trinary switch,,,,,,,,,,section_header,
Parts,24,Sanden-type compressor,re-use,,re-use,,,,,,,line_item,
Parts,25,Engine-specific compressor bracket and belt solution,re-use,,re-use,,,,,,,line_item,
Parts,26,Barrier hose and fittings,,,,,,,,,,section_header,
Parts,27,Firewall bulkhead fittings,,,,,,,,,,section_header,
Parts,28,"Relay/fuse/wiring for blower, clutch, and fan",,,,,,,,,,section_header,
Parts,30,"New O-rings, refrigerant oil, and full R134a charge setup",,,,,,,,,,section_header,
Substances,2,Dielectric Grease,5609,5609,,AliExpress,,,Y,yes,,line_item,
Substances,3,Dielectric Grease,11529,11529,,adenwalla.net,,,,,Duplicate? Needed?,line_item,
Substances,4,PERMATEX 81150 DIE ELECTRIC TUNE UP GREASE 0.33 OZ,1288,1288,,Adenwalla & Sons,,,COD,cod,,line_item,
Substances,5,HB BODY 999 SEAM SEALER 300ML CARTR,7696,7696,,autohub,,,,,,line_item,
Substances,6,3mm Sound Damping Sheet / Deadening Pad,29500,29500,,megamotorsports,,,,,,line_item,
Substances,7,Rust Converter 10L,,,,,,,,,,section_header,
Substances,8,HB BODY - U900 CAVITY WAX SPRAY U900 - 400ML,2250,2250,,autohub,,,,,,line_item,
Substances,9,Epoxy Primer,,,,,,,,,,section_header,
Substances,10,https://mhshah.com.pk/closed-cell-foam-pakistan,,,,,,,,,,section_header,
Substances,11,Firewal grommets,,,,,,,,,,section_header,
Substances,12,Star washers (bite into metal),,,,,,,,,Local Market,section_header,
Substances,13,ROST FLASH PRO,1365,1365,,adenwalla,Y,yes,Y,yes,Freeing bolts,line_item,
Substances,14,Permatex Copper Anti Seize Lubricant Premium Quality in Pakistan,11000,11000,,Pakistan Power Tool,Y,yes,Y,yes,,line_item,
Substances,15,RAPTOR LINER TINTABLE STANDARD 3.8L KIT,39900,39900,,adenwalla,Y,yes,Y,yes,,line_item,
Substances,16,WD-40 Multi-Use Product Handy Can 200ml (Pack Of 3),2300,2300,,adenwalla,Y,yes,Y,yes,,line_item,
Substances,17,Wire Harness Automotive Cloth Tape,,,,,,,,,,section_header,
Substances,18,VMD Unlocking Protective Lubricating Agent 200ML × 1,1060,1060,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Substances,19,VMD Brake and Clutch Cleaner 400ML × 1,1840,1840,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Substances,20,Loctite 290 – Medium/High Strength Wicking Grade Threadlocker × 1,1520,1520,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Substances,21,Lithium Grease + PTFE 400ML × 1,2200,2200,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Substances,22,Contact Cleaner 400ML × 1,1800,1800,,ToolsMart.pk,Y,yes,Y,yes,,line_item,
Substances,23,cloth loom tape (better than PVC),,,,,,,,,,section_header,
Wiring,2,Sleeves,,,,,,,,,,section_header,
Wiring,3,Grommet Set,18600,18600,,starshop.pk,,,9200 COD,cod,,line_item,
Wiring,4,8mm Nylon Braided Sleeve x 5,800,800,,electronicsstore.pk,Y,yes,Y,yes,,line_item,
Wiring,5,10mm Nylon Braided Sleeve x 5,875,875,,electronicsstore.pk,Y,yes,Y,yes,,line_item,
Wiring,6,16mm Nylon Braided Sleeve x 5,1450,1450,,electronicsstore.pk,Y,yes,Y,yes,,line_item,
Wiring,7,10mm Nylon Braided sleeve Price in Pakistan × 5,875,875,,electronicsstore.pk,Y,yes,Y,yes,,line_item,
Wiring,8,14mm Nylon Braided Sleeve price in Pakistan × 5,1500,1500,,electronicsstore.pk,Y,yes,Y,yes,,line_item,
Wiring,9,20mmn Nylon Braided Sleeve Price in Paklistan × 5,1750,1750,,electronicsstore.pk,Y,yes,Y,yes,,line_item,
Wiring,10,heat shrink tubing (various sizes) x 2,4200,4200,,IndustryParts.pk,Y,yes,Y,yes,,line_item,
Wiring,11,Coloured Heat-Shrink / Labels,,,,,,,,,,section_header,
Wiring,12,14mm Nylon Braided Sleeve price in Pakistan × 5,1500,1500,,electronicsstore.pk,Y,yes,Y,yes,,line_item,
Wiring,13,20mmn Nylon Braided Sleeve Price in Paklistan × 5,1750,1750,,,Y,yes,Y,yes,,line_item,
Wiring,14,10mm Nylon Braided sleeve Price in Pakistan × 5,875,875,,,Y,yes,Y,yes,,line_item,
Wiring,22,Breakers,,,,,,,,,,section_header,
Wiring,23,100A Circuit Breaker Resettable Fuse Car Marine Boat Automotive Protector,2000,2000,,Mughal,Y,yes,N,no,Jazzcash,line_item,
Wiring,26,Fuse Boxes,,,,,,,,,,section_header,
Wiring,27,6 Way Distribution Block Car Midi Fuse Box Block Holder 200A Bolt,18101,18101,,AliExpress,Y,yes,Y,yes,,line_item,
Wiring,28,Relay Box 12V 10 Way Relay Block and 10 Way ATC/ATO Blade Fuse Pane,37924,37924,,AliExpress,Y,yes,Y,yes,,line_item,
Wiring,31,Fuses,,,,,,,,,,section_header,
Wiring,32,1x 100A LITTEL FUSE ANL Car Fuse MEGA Bolt-on,1026,1026,,AliExpress,Y,yes,Y,yes,Main Fuse,line_item,
Wiring,33,Portable 12-Way Car Fuse Box Universal Automotive Box Holder with Led Indicator,4000,4000,,Mughal,Y,yes,Y,yes,,line_item,
Wiring,34,Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 30A x2,3409,3409,,AliExpress,Y,yes,Y,yes,,line_item,
Wiring,35,Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 50A,,,,AliExpress,Y,yes,Y,yes,,line_item,
Wiring,36,Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 50A,,,,AliExpress,Y,yes,Y,yes,,line_item,
Wiring,37,Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 60A,843,843,,AliExpress,Y,yes,Y,yes,,line_item,
Wiring,40,Relays,,,,,,,,,,section_header,
Wiring,41,5 Pin 40A Car Relay 12V x 6,8196,8196,,AliExpress,Y,yes,Y,yes,Relays,line_item,
Wiring,44,Connectors,,,,,,,,,,section_header,
Wiring,45,Copper Cable Lug 16mm cable 8mm Bolt Hole Pakistan × 10,280,280,,fiaz.com.pk,Y,yes,Y,yes,,line_item,
Wiring,46,Insulated Thimbles Male lug 4mm Yellow in Pakistan × 1,800,800,,,,,,,,line_item,
Wiring,47,O-type Blue Insulated Thimble/ Cable Lug 2.5mm × 1,250,250,,fiaz.com.pk,Y,yes,Y,yes,,line_item,
Wiring,48,Insulated Thimbles Male lug 2.5mm Blue in Pakistan × 1,700,700,,fiaz.com.pk,Y,yes,Y,yes,,line_item,
Wiring,49,Insulated Thimbles female lug 2.5mm Blue in Pakistan × 1,450,450,,fiaz.com.pk,Y,yes,Y,yes,,line_item,
Wiring,50,O-type Yellow Insulated Thimble/ Cable Lug 4mm (6mm hole) × 1,750,750,,fiaz.com.pk,Y,yes,Y,yes,,line_item,
Wiring,51,H4 Ceramic Headlight Connector,1350,1350,,Auto Xpert,Y,yes,Y,yes,,line_item,
Wiring,52,H4 Ceramic Headlight Connector - H4 - High,550,550,,autoxpertpakistan,,,,,,line_item,
Wiring,53,M6 star / lock washer,,,,Montgomery Road (Lahore),,,,,,line_item,
Wiring,54,M8 star / lock washer,,,,Montgomery Road (Lahore),,,,,,line_item,
Wiring,55,"Classification of Deutsch DT Series Connectors, Size 16 Stamped Contacts, Automotive Electrical Connectors, 188pcs x 2",17644,17644,,Temu,Y,yes,Y,yes,,line_item,
Wiring,56,6pcs Ratchet Crimping Tool Set,11964,11964,,Temu,Y,yes,Y,yes,,line_item,
Wiring,57,,,,,Temu,,,,,,line_item,
Wiring,58,Switches,,,,,,,,,,section_header,
Wiring,59,Universal 4-inch Switch Panel 3pcs,4290,4290,,chaudhryautostore,Y,yes,Y,yes,Rocker Switches,line_item,
Wiring,62,Wiring,,,,,,,,,,section_header,
Wiring,63,8mm split wiring pipe / loom pipe,5m,5,m,Montgomery Road (Lahore),,,,,,line_item,
Wiring,64,12mm split wiring pipe / loom pipe,10m,10,m,Montgomery Road (Lahore),,,,,,line_item,
Wiring,65,16mm split wiring pipe / loom pipe,6m,6,m,Montgomery Road (Lahore),,,,,,line_item,
Wiring,68,Heat Resistant Silicone Wire,,,,,,,,,,section_header,
Wiring,69,"1m, 4 AWG, Red",11529,11529,,AliExpress,Y,yes,Y,yes,,line_item,
Wiring,72,General Wire,,,,,,,,,,section_header,
Wiring,73,https://uni-core.pk/,,,,,,,,,,section_header,
Wiring,74,https://uni-core.pk/product/cables-wires/flexible-cables/2-5mmsq-flexible-cable/ - blue,9080,9080,,uni-core.pk,Y,yes,Y,yes,,line_item,
Wiring,75,https://uni-core.pk/product/flexible-cables/1-5mmsq-flexible-cable/ - yellow,5770,5770,,uni-core.pk,Y,yes,Y,yes,,line_item,
Wiring,76,https://uni-core.pk/product/flexible-cables/1mmsq-flexible-cable/ - white,4430,4430,,uni-core.pk,Y,yes,Y,yes,,line_item,
Wiring,77,4 mm²,,,,,Y,yes,Y,yes,Green | 2m,line_item,
Wiring,78,6 mm²,,,,,Y,yes,Y,yes,Red | 3m,line_item,
Wiring,79,8 mm²,,,,,Y,yes,Y,yes,Red | 1.5m,line_item,
Wiring,80,10 mm²,,,,,Y,yes,Y,yes,Red | 3m,line_item,
Wiring,81,10 mm²,,,,,Y,yes,Y,yes,Black | 2m,line_item,
Wiring,82,16 mm²,,,,,Y,yes,Y,yes,Red | 6m,line_item,
Wiring,83,25 mm²,,,,,Y,yes,Y,yes,Red | 4m,line_item,
Wiring,84,35mm²,,,,,Y,yes,Y,yes,Black 1.5m,line_item,
Wiring,87,Cable Lugs,,,,,,,,,,section_header,
Wiring,88,Pure Copper Cable Lugs & Thimbles,,,,,,,,,,section_header,
Wiring,89,10.8 x 4,113,113,,industryparts.pk,Y,yes,Y,yes,,line_item,
Wiring,90,16.1 x 4,160,160,,industryparts.pk,Y,yes,Y,yes,,line_item,
Wiring,91,25.1 x 4,160,160,,industryparts.pk,Y,yes,Y,yes,,line_item,
