specific_component,sent_images,returned_images,issue_images,derived_status,latest_image_date,sample_media_id
floor_pan_rust_zones,0,0,30,issues_open,2026-04-23,20260423_183704_gp_a5qmyeOA
roof_gutter_and_window_channel,1,0,4,issues_open,2026-04-23,20260423_183648_gp_ltd3AKwg
floor_seam_and_body_mount_rust,0,0,1,issues_open,2026-04-05,20260405_234652
whatsapp_paint_returned_media,0,57,0,returned,2026-03-16,mcp_whatsapp_number_1_archive_fj40_00259::00003264-PHOTO-2026-03-16-18-15-24.jpg
refinished_hinges_brackets_and_trim,0,16,0,returned,2026-04-12,20260412_010626_gp_4bK3TOAg
dashboard_fascia_trim,0,2,0,returned,2026-04-12,20260412_223534
refinished_seat_or_mount_bracket,0,1,0,returned,2026-04-12,20260412_010623
wiper_arm_or_linkage_hardware,0,1,0,returned,2026-04-12,20260412_010713
whatsapp_paint_sendout_media,101,0,0,sent_not_returned,2026-03-17,mcp_whatsapp_number_1_archive_akber_khan_00853::00000553-PHOTO-2026-03-17-17-05-29.jpg
detached_body_panels_and_doors,15,0,0,sent_not_returned,2026-04-23,20260423_183448_gp_9MQfbmvQ
detached_doors_and_panels,4,0,0,sent_not_returned,2026-04-23,20260423_183408_gp_eCiJmZnA
body_shell_with_doors_removed,1,0,0,sent_not_returned,2026-03-23,20260323_201950
front_panel_lighting_mount_area,1,0,0,sent_not_returned,2026-04-12,20260412_223216
rear_hatch_inner_panel,1,0,0,sent_not_returned,2026-03-28,IMG-20260328-WA0017
rear_side_opening,1,0,0,sent_not_returned,2026-03-23,20260323_201957
