media_id,file_name,relative_path,captured_date,captured_time,media_type,component_group,specific_component,stage,observed_state,confidence,tags,notes
20260314_180058,20260314_180058.jpg,photos/20260314_180058.jpg,2026-03-14,18:00:58,photo,body_exterior,fuel_filler_side_panel,baseline_walkaround,assembled,high,exterior|fuel|panel,
20260314_180059_gp_x5fsOjjA,20260314_180059_gp_x5fsOjjA.jpg,photos/20260314_180059_gp_x5fsOjjA.jpg,2026-03-14,18:00:59,photo,body_exterior,fuel_filler_side_panel,baseline_walkaround,assembled,high,exterior|fuel|panel,
20260317_165030,20260317_165030.jpg,photos/20260317_165030.jpg,2026-03-17,16:50:30,photo,body_exterior,hood_and_front_windshield_overview,baseline_walkaround,assembled,high,hood|windshield|wiper|front_end,
20260317_165030_gp_j49pTsog,20260317_165030_gp_j49pTsog.jpg,photos/20260317_165030_gp_j49pTsog.jpg,2026-03-17,16:50:30,photo,body_exterior,hood_and_front_windshield_overview,baseline_walkaround,assembled,high,hood|windshield|wiper|front_end,
20260317_165113,20260317_165113.jpg,photos/20260317_165113.jpg,2026-03-17,16:51:13,photo,interior_cabin,cabin_overview,baseline_walkaround,assembled,high,interior|baseline,
20260317_165114_gp_meA0ZqNA,20260317_165114_gp_meA0ZqNA.jpg,photos/20260317_165114_gp_meA0ZqNA.jpg,2026-03-17,16:51:14,photo,interior_cabin,cabin_overview,baseline_walkaround,assembled,high,interior|baseline,
20260317_165120,20260317_165120.jpg,photos/20260317_165120.jpg,2026-03-17,16:51:20,photo,interior_cabin,cabin_overview,baseline_walkaround,assembled,high,interior|baseline,
20260317_165120_gp_T9xvPw2Q,20260317_165120_gp_T9xvPw2Q.jpg,photos/20260317_165120_gp_T9xvPw2Q.jpg,2026-03-17,16:51:20,photo,interior_cabin,cabin_overview,baseline_walkaround,assembled,high,interior|baseline,
20260317_165124,20260317_165124.jpg,photos/20260317_165124.jpg,2026-03-17,16:51:24,photo,interior_cabin,cabin_overview,baseline_walkaround,assembled,high,interior|baseline,
20260317_165124_gp_0RHELA3A,20260317_165124_gp_0RHELA3A.jpg,photos/20260317_165124_gp_0RHELA3A.jpg,2026-03-17,16:51:24,photo,interior_cabin,cabin_overview,baseline_walkaround,assembled,high,interior|baseline,
20260317_165129,20260317_165129.jpg,photos/20260317_165129.jpg,2026-03-17,16:51:29,photo,interior_cabin,cabin_overview,baseline_walkaround,assembled,high,interior|baseline,
20260317_165129_gp_QZEuQdvg,20260317_165129_gp_QZEuQdvg.jpg,photos/20260317_165129_gp_QZEuQdvg.jpg,2026-03-17,16:51:29,photo,interior_cabin,cabin_overview,baseline_walkaround,assembled,high,interior|baseline,
20260317_165134,20260317_165134.jpg,photos/20260317_165134.jpg,2026-03-17,16:51:34,photo,interior_cabin,cabin_overview,baseline_walkaround,assembled,high,interior|baseline,
