excel_row,col_1,col_2,col_3,col_4,col_5,col_6
1,Category,Part,Sent,Received,Work Type,Notes
2,Body Panels,Left Door,Y,Y,,
3,Body Panels,Right Door,Y,Y,,
4,Furniture,Door hinges,Y,?,Chrome,
5,Furniture,Door Handles,Y,?,Chrome,
6,Body Panels,Door inner frame panel,Y,,,
7,Assembly,Seat base / Storage cover,,,,
8,Body Panels,Side Step / Sill,,,Chrome,
9,Furniture,Brackets and Mounts,,,Chrome,
10,Furniture,Jerry Can,Y,Y,,
11,Interior,Pedal Assembly,1,,single pedal,
12,Interior,Seat Frames,Y,Y,,
13,Interior,Handbrake Assembly,,,"Chrome Handle, rest Paint/Coat",
14,Interior,Gear Level Base Mounting Plate,,,Body Colour,
15,Engine Bay,Battery Tray,,,,
16,Engine Bay,Fan Brackets,,,,
17,Engine Bay,Radiator Brackets,,,,
18,Engine Bay,Small Mounts,,,,
19,Front Body,Headlight Buckets,,,,
20,Front Body,Indicator Housings,,,,
21,Front Body,Grille (poss not removable),,,,
22,Rear,Tail light housings,,,,
23,Rear,Rear Brackets,,,,
24,Hardware,Bolts,,,Zinc plating,
25,Hardware,Nuts,,,Zinc plating,
26,Hardware,Washers,,,Zinc plating,
27,Furniture,Side Mirror,Y,Y,White!,
28,Body Panels,Roof,Y,,,"Bolts will need work to unlock, restore factory gutter profile"
29,Body Panels,Left Panel,Y,Y,,
30,Body Panels,Right Panel,Y,Y,,
31,Body Panels,Shell,,,,
